,test_accuracy,test_accuracy_druggable,test_accuracy_non-druggable
98,0.7383333333333333,0.7666666666666667,0.71
99,0.7383333333333333,0.7666666666666667,0.71
100,0.7466666666666667,0.7833333333333333,0.71
101,0.7333333333333333,0.76,0.7066666666666667
102,0.73,0.7566666666666667,0.7033333333333334
103,0.7333333333333333,0.7566666666666667,0.71
104,0.745,0.77,0.72
105,0.7466666666666667,0.7833333333333333,0.71
106,0.7416666666666667,0.7666666666666667,0.7166666666666667
107,0.7433333333333333,0.7666666666666667,0.72
108,0.735,0.7666666666666667,0.7033333333333334
109,0.7333333333333333,0.7566666666666667,0.71
110,0.74,0.77,0.71
111,0.74,0.77,0.71
112,0.735,0.77,0.7
113,0.7416666666666667,0.7633333333333333,0.72
114,0.7433333333333333,0.7733333333333333,0.7133333333333334
115,0.7416666666666667,0.7733333333333333,0.71
116,0.73,0.7666666666666667,0.6933333333333334
117,0.735,0.7566666666666667,0.7133333333333334
118,0.7383333333333333,0.7666666666666667,0.71
119,0.7366666666666667,0.7633333333333333,0.71
120,0.745,0.7766666666666666,0.7133333333333334
121,0.7383333333333333,0.7666666666666667,0.71
122,0.7416666666666667,0.77,0.7133333333333334
123,0.7416666666666667,0.7766666666666666,0.7066666666666667
124,0.74,0.7666666666666667,0.7133333333333334
125,0.7383333333333333,0.77,0.7066666666666667
126,0.7333333333333333,0.7633333333333333,0.7033333333333334
127,0.7333333333333333,0.7633333333333333,0.7033333333333334
128,0.7383333333333333,0.7666666666666667,0.71
129,0.735,0.7666666666666667,0.7033333333333334
130,0.725,0.7533333333333333,0.6966666666666667
131,0.75,0.78,0.72
132,0.725,0.7566666666666667,0.6933333333333334
133,0.7416666666666667,0.7733333333333333,0.71
134,0.735,0.7566666666666667,0.7133333333333334
135,0.7433333333333333,0.7833333333333333,0.7033333333333334
136,0.7383333333333333,0.77,0.7066666666666667
137,0.745,0.7733333333333333,0.7166666666666667
138,0.7316666666666667,0.77,0.6933333333333334
139,0.7416666666666667,0.7733333333333333,0.71
140,0.74,0.7766666666666666,0.7033333333333334
141,0.74,0.7666666666666667,0.7133333333333334
142,0.7316666666666667,0.76,0.7033333333333334
143,0.73,0.7633333333333333,0.6966666666666667
144,0.7316666666666667,0.7566666666666667,0.7066666666666667
145,0.7383333333333333,0.77,0.7066666666666667
146,0.7333333333333333,0.7633333333333333,0.7033333333333334
147,0.7416666666666667,0.7633333333333333,0.72
148,0.74,0.7733333333333333,0.7066666666666667
149,0.7383333333333333,0.7766666666666666,0.7
150,0.735,0.7666666666666667,0.7033333333333334
151,0.7433333333333333,0.77,0.7166666666666667
152,0.7333333333333333,0.76,0.7066666666666667
153,0.7433333333333333,0.7766666666666666,0.71
154,0.7366666666666667,0.7766666666666666,0.6966666666666667
155,0.7433333333333333,0.77,0.7166666666666667
156,0.7416666666666667,0.7733333333333333,0.71
157,0.7316666666666667,0.7666666666666667,0.6966666666666667
158,0.7416666666666667,0.7733333333333333,0.71
159,0.7366666666666667,0.7666666666666667,0.7066666666666667
160,0.7433333333333333,0.78,0.7066666666666667
161,0.7416666666666667,0.7733333333333333,0.71
162,0.7366666666666667,0.7633333333333333,0.71
163,0.7366666666666667,0.77,0.7033333333333334
164,0.74,0.7766666666666666,0.7033333333333334
165,0.7316666666666667,0.77,0.6933333333333334
166,0.7433333333333333,0.7766666666666666,0.71
167,0.74,0.7766666666666666,0.7033333333333334
168,0.74,0.7666666666666667,0.7133333333333334
169,0.735,0.7633333333333333,0.7066666666666667
170,0.7283333333333334,0.7533333333333333,0.7033333333333334
171,0.75,0.7866666666666666,0.7133333333333334
172,0.7433333333333333,0.7766666666666666,0.71
173,0.73,0.7633333333333333,0.6966666666666667
174,0.7366666666666667,0.7666666666666667,0.7066666666666667
175,0.7433333333333333,0.77,0.7166666666666667
176,0.74,0.7733333333333333,0.7066666666666667
177,0.735,0.7666666666666667,0.7033333333333334
178,0.73,0.7533333333333333,0.7066666666666667
179,0.7283333333333334,0.7566666666666667,0.7
180,0.7433333333333333,0.78,0.7066666666666667
181,0.7466666666666667,0.7833333333333333,0.71
182,0.745,0.7733333333333333,0.7166666666666667
183,0.735,0.7633333333333333,0.7066666666666667
